epoch,train_loss,development_loss,train_accuracy,development_accuracy
1,0.6939523451122237,0.6902477741241455,0.49382716064099913,0.4444444477558136
2,0.6943916412047398,0.6989908218383789,0.5185185185921045,0.4888888895511627
3,0.691928877948243,0.6849856972694397,0.528395061801981,0.5555555820465088
4,0.6827003680629494,0.7009671330451965,0.5530864200474304,0.46666666865348816
5,0.6726704528302322,0.6973186731338501,0.5802469136538329,0.46666666865348816
6,0.6560004599300432,0.6921800374984741,0.6345679015289118,0.5111111402511597
7,0.6118641232266838,0.7239700555801392,0.6543209877279069,0.5111111402511597
8,0.5601247225278689,0.7375978231430054,0.6938271607881711,0.5111111402511597
9,0.5011183888823898,0.7788928747177124,0.7308641976780361,0.5333333611488342
10,0.4302187099868869,0.826932430267334,0.7901234570844674,0.5333333611488342
11,0.3654225189100813,0.9068500995635986,0.8296296296296296,0.4444444477558136
12,0.30563810070355735,0.9728969931602478,0.8839506172839506,0.4444444477558136
13,0.2560817402822,1.0579216480255127,0.9086419754558139,0.4444444477558136
14,0.18785971999168397,1.1440081596374512,0.9333333334805053,0.4888888895511627
15,0.15134240672176266,1.1796488761901855,0.9432098766903818,0.46666666865348816
16,0.1266027736581034,1.321265697479248,0.9580246913580247,0.4444444477558136
17,0.1394853401331254,1.5109891891479492,0.9506172839506173,0.4444444477558136
18,0.1246125888125396,1.4876573085784912,0.9530864197530864,0.42222222685813904
19,0.07993770406385999,1.4642101526260376,0.980246913580247,0.42222222685813904
20,0.06896258713102635,1.5549076795578003,0.9827160493827161,0.42222222685813904
21,0.059717623524390806,1.5620148181915283,0.9827160493827161,0.46666666865348816
22,0.05159430902589251,1.5199768543243408,0.9876543209876543,0.42222222685813904
23,0.0470761656669187,1.6062811613082886,0.9851851851851852,0.42222222685813904
24,0.04599405701881574,1.5692050457000732,0.9876543209876543,0.4000000059604645
25,0.041901407758762804,1.55866277217865,0.9925925925925926,0.4000000059604645
26,0.0393461794419973,1.5867923498153687,0.9925925925925926,0.4888888895511627
27,0.03411305376133065,1.5513156652450562,0.9925925925925926,0.4444444477558136
28,0.03333620509063756,1.635286808013916,0.9925925925925926,0.46666666865348816
