,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,13,3,0,0,0,0
actual_DESC,1,9,5,1,0,0
actual_ENTY,0,4,3,4,2,3
actual_HUM,1,3,2,9,0,1
actual_LOC,0,4,0,5,6,1
actual_NUM,0,0,2,3,1,10
