,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,11,4,0,1,0,0
actual_DESC,1,4,4,3,2,2
actual_ENTY,0,6,7,1,1,1
actual_HUM,0,1,1,14,0,0
actual_LOC,0,0,0,0,13,3
actual_NUM,0,0,3,1,2,10
