,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,14,0,0,1,0,1
actual_DESC,9,3,0,3,0,1
actual_ENTY,11,0,1,3,0,1
actual_HUM,0,1,2,12,0,1
actual_LOC,1,0,0,2,11,2
actual_NUM,1,0,2,2,10,1
