,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,16,0,0,0,0,0
actual_DESC,1,3,5,6,1,0
actual_ENTY,0,4,4,5,2,1
actual_HUM,0,0,1,9,2,4
actual_LOC,0,1,0,2,11,2
actual_NUM,0,1,1,1,4,9
