,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,11,3,0,2,0,0
actual_DESC,2,3,6,1,1,3
actual_ENTY,1,2,3,3,1,6
actual_HUM,2,0,4,7,2,1
actual_LOC,5,0,1,1,7,2
actual_NUM,0,0,1,2,3,10
