,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,16,0,0,0,0,0
actual_DESC,3,9,2,1,0,1
actual_ENTY,1,2,11,2,0,0
actual_HUM,0,0,2,12,1,1
actual_LOC,0,2,3,2,8,1
actual_NUM,0,2,0,2,0,12
