,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,13,2,0,1,0,0
actual_DESC,1,7,1,3,2,2
actual_ENTY,0,1,13,1,1,0
actual_HUM,0,1,2,12,1,0
actual_LOC,0,0,0,0,14,2
actual_NUM,0,0,1,0,1,14
