,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,11,1,1,1,1,1
actual_DESC,3,4,2,2,2,3
actual_ENTY,3,0,9,3,0,1
actual_HUM,0,1,1,11,3,0
actual_LOC,3,1,0,4,7,1
actual_NUM,0,3,0,0,1,12
