,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,15,0,0,0,0,1
actual_DESC,3,7,4,1,0,1
actual_ENTY,1,4,6,2,1,2
actual_HUM,0,1,1,13,1,0
actual_LOC,0,2,2,3,9,0
actual_NUM,0,0,2,4,0,10
