epoch,train_loss,development_loss,train_accuracy,development_accuracy
1,0.695602722465992,0.6931502819061279,0.546875,0.5384615659713745
2,0.6885207146406174,0.6803921461105347,0.546875,0.5384615659713745
3,0.6860100850462914,0.6717144846916199,0.546875,0.5384615659713745
4,0.6807408109307289,0.6743916273117065,0.546875,0.5384615659713745
5,0.6727214753627777,0.6562260985374451,0.546875,0.5384615659713745
6,0.6692286059260368,0.6425055265426636,0.5625,0.5384615659713745
7,0.652708001434803,0.6266666054725647,0.59375,0.8461538553237915
8,0.6401815265417099,0.618707537651062,0.734375,0.9230769872665405
9,0.6076687872409821,0.5985718369483948,0.953125,0.9230769872665405
10,0.5771943852305412,0.565716028213501,0.984375,0.9230769872665405
11,0.5360235199332237,0.5172795653343201,1.0,1.0
12,0.48734498769044876,0.48102205991744995,1.0,0.9230769872665405
13,0.43298499658703804,0.40857821702957153,1.0,1.0
14,0.3709532842040062,0.3728499114513397,1.0,1.0
15,0.3004059009253979,0.2860332131385803,1.0,1.0
16,0.24886439554393291,0.24231845140457153,1.0,1.0
17,0.20531913079321384,0.20889300107955933,1.0,1.0
18,0.15974490903317928,0.1563016027212143,1.0,1.0
19,0.1323344213888049,0.1193852424621582,1.0,1.0
20,0.11059802584350109,0.10637379437685013,1.0,1.0
21,0.08849997539073229,0.10543937981128693,1.0,1.0
22,0.07624749466776848,0.07084707915782928,1.0,1.0
23,0.056996895000338554,0.052468255162239075,1.0,1.0
24,0.04599080211482942,0.04877903684973717,1.0,1.0
25,0.03982312814332545,0.04970317333936691,1.0,1.0
26,0.03454485721886158,0.02968263253569603,1.0,1.0
27,0.03516395203769207,0.030777376145124435,1.0,1.0
28,0.02812837320379913,0.024200554937124252,1.0,1.0
29,0.02281020418740809,0.02040366642177105,1.0,1.0
30,0.023287173826247454,0.01815243437886238,1.0,1.0
31,0.02081907237879932,0.01587614044547081,1.0,1.0
32,0.016260534641332924,0.017581511288881302,1.0,1.0
33,0.016587663092650473,0.014415637589991093,1.0,1.0
34,0.013145460980013013,0.01640952378511429,1.0,1.0
35,0.011900516285095364,0.015416460111737251,1.0,1.0
36,0.011171398917213082,0.008907878771424294,1.0,1.0
37,0.01380093052284792,0.010527179576456547,1.0,1.0
38,0.009967120888177305,0.015620538964867592,1.0,1.0
39,0.009488004900049418,0.009139619767665863,1.0,1.0
40,0.00924986181780696,0.007898617535829544,1.0,1.0
41,0.008111527073197067,0.007270029745995998,1.0,1.0
42,0.007905696402303874,0.006620254833251238,1.0,1.0
43,0.0067654752638190985,0.006989373825490475,1.0,1.0
44,0.005767812661360949,0.01324620470404625,1.0,1.0
45,0.006487378035672009,0.00692924065515399,1.0,1.0
