method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
lda,logistic_regression,1,22,384,96,0.6458333333333334,0.6416853803950578,0.043001200014259666,
lda,vqc_z_zz,1,22,384,96,0.625,0.6221002332237038,35.86342629999854,
lda,logistic_regression,2,23,384,96,0.6979166666666666,0.6959276542339023,0.03146339999511838,
lda,vqc_z_zz,2,23,384,96,0.6458333333333334,0.646375387476611,35.248807800002396,
lda,logistic_regression,3,24,384,96,0.78125,0.7789104669944492,0.04420840000966564,
lda,vqc_z_zz,3,24,384,96,0.7291666666666666,0.7241449940834491,34.47860299999593,
lda,logistic_regression,4,25,384,96,0.7291666666666666,0.7225376201854696,0.03190819994779304,
lda,vqc_z_zz,4,25,384,96,0.65625,0.6571080021511057,34.87382909998996,
lda,logistic_regression,5,26,384,96,0.7395833333333334,0.7355949787322337,0.03204830002505332,
lda,vqc_z_zz,5,26,384,96,0.71875,0.7168409208977161,33.06201679998776,
