,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,13,1,0,2,0,0
actual_DESC,0,7,2,4,1,2
actual_ENTY,1,7,4,3,0,1
actual_HUM,0,4,3,6,1,2
actual_LOC,0,1,1,1,11,2
actual_NUM,1,4,3,0,0,8
