,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,11,2,1,0,0,2
actual_DESC,2,8,1,0,2,3
actual_ENTY,2,1,7,3,3,0
actual_HUM,1,1,3,8,2,1
actual_LOC,2,4,0,0,5,5
actual_NUM,3,0,0,0,2,11
