method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
lda,logistic_regression,1,8,384,96,0.7083333333333334,0.704760894170911,0.036018499988131225,
lda,vqc_z_zz,1,8,384,96,0.5729166666666666,0.5766769170829238,34.23850640002638,
lda,logistic_regression,2,9,384,96,0.6666666666666666,0.6669469840722213,0.028923199977725744,
lda,vqc_z_zz,2,9,384,96,0.6666666666666666,0.6629171561097557,32.84344650001731,
lda,logistic_regression,3,10,384,96,0.7395833333333334,0.7409974125491368,0.03561740001896396,
lda,vqc_z_zz,3,10,384,96,0.6979166666666666,0.6964919594426235,35.52014410000993,
lda,logistic_regression,4,11,384,96,0.75,0.7567873561154493,0.03413330001058057,
lda,vqc_z_zz,4,11,384,96,0.7604166666666666,0.7618949677773207,42.447166999976616,
lda,logistic_regression,5,12,384,96,0.7708333333333334,0.7728049169859514,0.03838869999162853,
lda,vqc_z_zz,5,12,384,96,0.6041666666666666,0.6025826025826025,56.05178000003798,
