method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
pca,logistic_regression,1,43,384,96,0.5208333333333334,0.5188965590154045,0.024564500025007874,0.15032798051834106
pca,vqc,1,43,384,96,0.4375,0.41497503997504004,32.53005010000197,0.15032798051834106
pca,logistic_regression,2,44,384,96,0.6145833333333334,0.6104792275333072,0.029274299973621964,0.14961238205432892
pca,vqc,2,44,384,96,0.4791666666666667,0.45355290355290356,32.421126600005664,0.14961238205432892
pca,logistic_regression,3,45,384,96,0.5,0.4841596713665897,0.02390590001596138,0.146954745054245
pca,vqc,3,45,384,96,0.4375,0.37177256090299565,34.20073169999523,0.146954745054245
pca,logistic_regression,4,46,384,96,0.5416666666666666,0.5235238064404731,0.03717240004334599,0.14969532191753387
pca,vqc,4,46,384,96,0.5104166666666666,0.4799660366733538,33.89291950000916,0.14969532191753387
pca,logistic_regression,5,47,384,96,0.6145833333333334,0.6151763124604681,0.030796999984886497,0.14900007843971252
pca,vqc,5,47,384,96,0.4270833333333333,0.41143757297195327,31.891521900019143,0.14900007843971252
lda,logistic_regression,1,43,384,96,0.19791666666666666,0.1591008710573928,0.01490210002521053,
lda,vqc,1,43,384,96,0.14583333333333334,0.09477444376403348,31.87602170003811,
lda,logistic_regression,2,44,384,96,0.2604166666666667,0.2829956355301978,0.016577099973801523,
lda,vqc,2,44,384,96,0.16666666666666666,0.1669448391272773,33.433690699981526,
lda,logistic_regression,3,45,384,96,0.4166666666666667,0.4170225480286028,0.01449010003125295,
lda,vqc,3,45,384,96,0.2604166666666667,0.25061735944088886,37.441634400049224,
lda,logistic_regression,4,46,384,96,0.25,0.24688476335335421,0.01496570004383102,
lda,vqc,4,46,384,96,0.16666666666666666,0.12143604525401304,34.51412909995997,
lda,logistic_regression,5,47,384,96,0.2604166666666667,0.26004609425662056,0.015090300003066659,
lda,vqc,5,47,384,96,0.17708333333333334,0.11719915886582555,31.039932299987413,
nca,logistic_regression,1,43,384,96,0.65625,0.6609630135945925,0.028378100018016994,
nca,vqc,1,43,384,96,0.5416666666666666,0.5411727124648325,32.09620069997618,
nca,logistic_regression,2,44,384,96,0.7604166666666666,0.7539776853502344,0.024278700002469122,
nca,vqc,2,44,384,96,0.6041666666666666,0.5924805854241338,31.524305600032676,
nca,logistic_regression,3,45,384,96,0.7083333333333334,0.7027501179683342,0.022648899990599602,
nca,vqc,3,45,384,96,0.625,0.6184843830005119,34.20995539997239,
nca,logistic_regression,4,46,384,96,0.7083333333333334,0.7076034175425656,0.03262920002453029,
nca,vqc,4,46,384,96,0.5,0.5036463992820729,31.781836199981626,
nca,logistic_regression,5,47,384,96,0.7604166666666666,0.7573041975073643,0.03438079997431487,
nca,vqc,5,47,384,96,0.5625,0.5511061146963785,31.40602029999718,
