method,model,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,training_seconds_mean,training_seconds_std,pca_explained_variance_mean
pca,logistic_regression,5,0.5583333333333333,0.05342033918732537,0.5504471153632485,0.05896619974457626,0.02914282000856474,0.005376199837966355,0.14911810159683228
pca,vqc,5,0.45833333333333337,0.03532463532877743,0.42634082281524927,0.04166876522944635,32.98726996000623,1.0028612315700955,0.14911810159683228
lda,logistic_regression,5,0.27708333333333335,0.08221911358612966,0.2732099824452336,0.09309270572951801,0.015205060015432537,0.0007993605629592097,
lda,vqc,5,0.18333333333333335,0.044560936742098836,0.15019436929040766,0.0619524988362316,33.661081640003246,2.506433653219631,
nca,logistic_regression,5,0.71875,0.04357604304864975,0.7165196863926182,0.04006907407827752,0.028463140001986176,0.0050915840481617755,
nca,vqc,5,0.5666666666666667,0.04973890160963884,0.5613780389735858,0.04493109389104281,32.20366363999201,1.1524382351218667,
