,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,14,3,0,0,0,0
actual_DESC,11,186,18,9,5,3
actual_ENTY,0,23,192,18,12,5
actual_HUM,0,9,13,210,10,3
actual_LOC,1,9,9,5,141,2
actual_NUM,0,3,4,4,9,159
