method,model,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,training_seconds_mean,training_seconds_std,pca_explained_variance_mean
lda,logistic_regression,5,0.8418955759802891,0.010454976918207055,0.8103361124702244,0.015523433016919715,0.10061920020052639,0.006700686901240901,
lda,vqc_z_zz,5,0.8340088631757752,0.01778272265213746,0.8131644830338036,0.03269637004565693,809.2346936628004,12.885388233811408,
