method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
lda,logistic_regression,1,43,4361,1091,0.844179651695692,0.808580310644591,0.10695760700036772,
lda,vqc_z_zz,1,43,4361,1091,0.84051329055912,0.8134833804142055,806.7111885350005,
lda,logistic_regression,2,44,4361,1091,0.8249312557286893,0.7907718914334647,0.10754052800075442,
lda,vqc_z_zz,2,44,4361,1091,0.8111824014665444,0.7739016428924685,831.9072158090003,
lda,logistic_regression,3,45,4362,1090,0.8532110091743119,0.8313047086400659,0.10049894099938683,
lda,vqc_z_zz,3,45,4362,1090,0.8412844036697248,0.8503764914516069,801.1187983070013,
lda,logistic_regression,4,46,4362,1090,0.8412844036697248,0.8021955006063165,0.09244022799975937,
lda,vqc_z_zz,4,46,4362,1090,0.8211009174311926,0.7880660055129075,804.8697706919993,
lda,logistic_regression,5,47,4362,1090,0.8458715596330275,0.8188281510266839,0.09565869700236362,
lda,vqc_z_zz,5,47,4362,1090,0.8559633027522936,0.8399948948978299,801.5664949710008,
