,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,6,0,0,0,2,1
actual_DESC,55,48,14,14,5,2
actual_ENTY,60,9,5,9,9,2
actual_HUM,33,4,2,18,5,3
actual_LOC,63,2,2,1,7,6
actual_NUM,80,6,0,10,13,4
