method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
lda,logistic_regression,1,43,384,96,0.6458333333333334,0.6418359589493365,0.05270689999451861,
lda,vqc,1,43,384,96,0.4375,0.4352637863565037,37.035724300018046,
lda,logistic_regression,2,44,384,96,0.8020833333333334,0.7979037226882055,0.042233699990902096,
lda,vqc,2,44,384,96,0.6041666666666666,0.6092121723241267,35.969494199962355,
lda,logistic_regression,3,45,384,96,0.78125,0.7783026113671275,0.030095099995378405,
lda,vqc,3,45,384,96,0.625,0.6207309267793139,36.35607560002245,
lda,logistic_regression,4,46,384,96,0.78125,0.7828128294328485,0.03172379999887198,
lda,vqc,4,46,384,96,0.6145833333333334,0.6226604395959235,38.776631899992935,
lda,logistic_regression,5,47,384,96,0.78125,0.7787357171607646,0.03718580002896488,
lda,vqc,5,47,384,96,0.625,0.6118786820747332,38.83398119994672,
