method,model,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,training_seconds_mean,training_seconds_std,pca_explained_variance_mean
pca,logistic_regression,2,0.5916666666666667,0.053033008588991036,0.5895501237077925,0.042387860264315444,0.038871149998158216,0.001321511883199114,0.15934531390666962
pca,vqc,2,0.30000000000000004,0.058925565098878946,0.2416519211330735,0.054649881662755605,1.0360647000197787,0.11846951865099706,0.15934531390666962
lda,logistic_regression,2,0.4895833333333333,0.02062394778460764,0.4964623020798382,0.014800514108686217,0.026353649969678372,0.004278915248812926,
lda,vqc,2,0.19375,0.008838834764831853,0.18317735920226763,0.016531923219185,0.9693860499828588,0.028670280882629642,
nca,logistic_regression,2,0.68125,0.008838834764831813,0.6808230455874664,0.003435158508931216,0.027896950021386147,0.0073221614550854925,
nca,vqc,2,0.27708333333333335,0.0029462782549439376,0.24495829387782736,0.017568408235061363,1.0756668999965768,0.07841686925203933,
