method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
pca,logistic_regression,1,43,240,240,0.5541666666666667,0.5595773802749072,0.039805600012186915,0.16200603544712067
pca,vqc,1,43,240,240,0.3416666666666667,0.2802952230478503,1.1198353000218049,0.16200603544712067
pca,logistic_regression,2,44,240,240,0.6291666666666667,0.6195228671406777,0.03793669998412952,0.15668459236621857
pca,vqc,2,44,240,240,0.25833333333333336,0.20300861921829663,0.9522941000177525,0.15668459236621857
lda,logistic_regression,1,43,240,240,0.5041666666666667,0.5069278459711374,0.029379299958236516,
lda,vqc,1,43,240,240,0.1875,0.1714875241879266,0.9896590000134893,
lda,logistic_regression,2,44,240,240,0.475,0.485996758188539,0.02332799998112023,
lda,vqc,2,44,240,240,0.2,0.1948671942166087,0.9491130999522284,
nca,logistic_regression,1,43,240,240,0.675,0.6783940217113504,0.033074500039219856,
nca,vqc,1,43,240,240,0.275,0.2573810344754928,1.1311160000041127,
nca,logistic_regression,2,44,240,240,0.6875,0.6832520694635823,0.022719400003552437,
nca,vqc,2,44,240,240,0.2791666666666667,0.23253555328016187,1.020217799989041,
