epoch,training_loss,training_accuracy,development_loss,development_accuracy,development_macro_f1
1,1.8238248904546102,0.1625,1.8079620122909545,0.15,0.08341477034761972
2,1.7974477529525756,0.1875,1.7897695859273275,0.18333333333333332,0.11637712514905496
3,1.7819819450378418,0.2125,1.774148909250895,0.2,0.1360838779956427
4,1.7664709647496541,0.225,1.7578598419825235,0.2,0.15820105820105823
5,1.7487711826960246,0.2625,1.7377276738484702,0.2833333333333333,0.22951479076479075
6,1.720084285736084,0.325,1.710719100634257,0.3333333333333333,0.26894586894586897
7,1.6740726073582968,0.35833333333333334,1.6656097412109374,0.38333333333333336,0.30642135642135643
8,1.6226173003514608,0.35,1.6119700113932292,0.38333333333333336,0.30649350649350654
9,1.5745030800501505,0.35,1.5810535510381063,0.38333333333333336,0.3143576084752555
10,1.5469388802846273,0.3625,1.564005176226298,0.38333333333333336,0.31183235595000297
11,1.529738227526347,0.37083333333333335,1.5374998013178507,0.38333333333333336,0.318986568986569
12,1.5092997948328655,0.4,1.5328313906987507,0.4166666666666667,0.37968828557063855
13,1.4982668876647949,0.4125,1.5290122985839845,0.45,0.41899281727713106
14,1.487574330965678,0.42083333333333334,1.5167245229085287,0.45,0.4260243841126194
15,1.4756714344024657,0.42083333333333334,1.5084724108378091,0.4166666666666667,0.37590911204839533
16,1.4647221167882283,0.4125,1.5016398032506306,0.4166666666666667,0.38201177907060263
17,1.4571802218755086,0.44166666666666665,1.502595353126526,0.36666666666666664,0.33465608465608465
18,1.4487693786621094,0.44166666666666665,1.4955024719238281,0.4,0.37453703703703695
19,1.43956614335378,0.45416666666666666,1.4901545921961465,0.36666666666666664,0.323202614379085
20,1.4320105075836183,0.4625,1.4833930412928262,0.38333333333333336,0.3450980392156862
21,1.4240440686543783,0.4583333333333333,1.4832439104715982,0.38333333333333336,0.3450980392156862
22,1.4186531543731689,0.475,1.475302529335022,0.4,0.3639914265301262
23,1.410962216059367,0.475,1.4753118912378946,0.4,0.3639914265301262
24,1.404652722676595,0.4791666666666667,1.4781181891759236,0.4,0.3632604323780795
25,1.3984310626983643,0.475,1.4667499542236329,0.4,0.3632604323780795
26,1.3923294464747111,0.4666666666666667,1.467934528986613,0.4,0.3665750915750916
27,1.3855522712071737,0.4708333333333333,1.4647908846537272,0.4,0.3632604323780795
28,1.3819257338841757,0.4875,1.4556179285049438,0.43333333333333335,0.40458937198067635
29,1.3757296721140544,0.4791666666666667,1.46283966700236,0.4166666666666667,0.38672438672438675
30,1.3693077484766643,0.4625,1.4594424486160278,0.4166666666666667,0.38888888888888884
