epoch,train_loss,development_loss,train_accuracy,development_accuracy
1,0.6894852891564369,0.6870231032371521,0.546875,0.5384615659713745
2,0.6906100735068321,0.6846226453781128,0.546875,0.5384615659713745
3,0.6876755729317665,0.681587278842926,0.546875,0.5384615659713745
4,0.683929830789566,0.6699212789535522,0.546875,0.5384615659713745
5,0.6786174848675728,0.672660768032074,0.546875,0.5384615659713745
6,0.6718602702021599,0.6538456678390503,0.546875,0.5384615659713745
7,0.6630782037973404,0.6330185532569885,0.5625,0.692307710647583
8,0.6461204215884209,0.6196843385696411,0.703125,0.9230769276618958
9,0.6198240518569946,0.5942702889442444,0.859375,0.9230769276618958
10,0.5936044007539749,0.5817625522613525,0.96875,0.8461538553237915
11,0.5481834635138512,0.5507599711418152,1.0,0.9230769276618958
12,0.5071357153356075,0.5018896460533142,1.0,1.0
13,0.4549158327281475,0.4566470980644226,1.0,0.9230769276618958
14,0.3964049853384495,0.40130487084388733,1.0,1.0
15,0.34150225669145584,0.3268871009349823,1.0,1.0
16,0.27524565905332565,0.2657109797000885,1.0,1.0
17,0.2275374960154295,0.21056818962097168,1.0,1.0
18,0.18832651898264885,0.163773775100708,1.0,1.0
19,0.14576239418238401,0.13752630352973938,1.0,1.0
20,0.11936184857040644,0.11448924988508224,1.0,1.0
21,0.095571493729949,0.08858919888734818,1.0,1.0
22,0.08887127321213484,0.07677879184484482,1.0,1.0
23,0.06544597167521715,0.07001963257789612,1.0,1.0
24,0.055342539213597775,0.06241559609770775,1.0,1.0
25,0.04939187946729362,0.05606772378087044,1.0,1.0
26,0.041509372647851706,0.03498252108693123,1.0,1.0
27,0.03322943137027323,0.030819695442914963,1.0,1.0
28,0.030935130082070827,0.02701789140701294,1.0,1.0
29,0.02674528816714883,0.02597895637154579,1.0,1.0
30,0.02319783065468073,0.02371944673359394,1.0,1.0
31,0.021892076241783798,0.024767162278294563,1.0,1.0
32,0.019845772185362875,0.014976532198488712,1.0,1.0
33,0.016939497203566134,0.021398533135652542,1.0,1.0
34,0.014070015284232795,0.014996493235230446,1.0,1.0
35,0.013381594384554774,0.012237850576639175,1.0,1.0
36,0.011592780239880085,0.011677646078169346,1.0,1.0
37,0.01220774871762842,0.01498478464782238,1.0,1.0
38,0.011684233963023871,0.014251613058149815,1.0,1.0
39,0.011900825891643763,0.00902745220810175,1.0,1.0
40,0.009459669643547386,0.009439785964787006,1.0,1.0
41,0.00835969188483432,0.009666204452514648,1.0,1.0
42,0.00899256207048893,0.0072394502349197865,1.0,1.0
43,0.008256197674199939,0.007986677810549736,1.0,1.0
44,0.00881285237846896,0.0067528653889894485,1.0,1.0
45,0.007224652101285756,0.006684282794594765,1.0,1.0
46,0.006661982944933698,0.005703997332602739,1.0,1.0
47,0.0049387743638362736,0.004908382426947355,1.0,1.0
