component,explained_variance_ratio,cumulative_explained_variance
1,0.04940652,0.04940652
2,0.03975761,0.08916413
3,0.027683066,0.116847195
4,0.023687832,0.14053503
5,0.022077374,0.16261241
6,0.019837772,0.18245018
7,0.019079166,0.20152934
8,0.018459462,0.2199888
