method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
lda,logistic_regression,1,43,384,96,0.6458333333333334,0.6418359589493365,0.024422099988441914,
lda,vqc_z_zz,1,43,384,96,0.6354166666666666,0.6374863651879782,33.816313399991486,
lda,logistic_regression,2,44,384,96,0.8020833333333334,0.7979037226882055,0.03483359998790547,
lda,vqc_z_zz,2,44,384,96,0.71875,0.7161313864317203,32.89301350002643,
lda,logistic_regression,3,45,384,96,0.78125,0.7783026113671275,0.027013299986720085,
lda,vqc_z_zz,3,45,384,96,0.71875,0.7171345811051694,32.5290687000379,
lda,logistic_regression,4,46,384,96,0.78125,0.7828128294328485,0.02782610000576824,
lda,vqc_z_zz,4,46,384,96,0.5625,0.5591138524606266,33.54905890004011,
lda,logistic_regression,5,47,384,96,0.78125,0.7787357171607646,0.045105799974408,
lda,vqc_z_zz,5,47,384,96,0.6979166666666666,0.6944549862955934,35.39518649998354,
