method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
lda,logistic_regression,1,43,4361,1091,0.844179651695692,0.808580310644591,0.0955716640000901,
lda,vqc_z_zz,1,43,4361,1091,0.844179651695692,0.8133514588404824,504.9691536600003,
lda,logistic_regression,2,44,4361,1091,0.8249312557286893,0.7907718914334647,0.1025772049997613,
lda,vqc_z_zz,2,44,4361,1091,0.8249312557286893,0.8007821416730659,519.8282700220007,
lda,logistic_regression,3,45,4362,1090,0.8532110091743119,0.8313047086400659,0.09536882099928334,
lda,vqc_z_zz,3,45,4362,1090,0.8366972477064221,0.8266987744193696,508.0033483999996,
lda,logistic_regression,4,46,4362,1090,0.8412844036697248,0.8021955006063165,0.0968707780011755,
lda,vqc_z_zz,4,46,4362,1090,0.8339449541284404,0.8155374709254689,527.2820791270005,
lda,logistic_regression,5,47,4362,1090,0.8458715596330275,0.8188281510266839,0.09897247699882428,
lda,vqc_z_zz,5,47,4362,1090,0.8568807339449541,0.8409165210009301,482.5347096279984,
