method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
lda,logistic_regression,1,43,4361,1091,0.844179651695692,0.808580310644591,0.13582419999875128,
lda,vqc_z_zz,1,43,4361,1091,0.8230980751604033,0.7967214460299149,574.1842753000092,
lda,logistic_regression,2,44,4361,1091,0.8240146654445463,0.7900457856798041,0.12306640000315383,
lda,vqc_z_zz,2,44,4361,1091,0.8139321723189734,0.7828184733289619,575.4675989999669,
lda,logistic_regression,3,45,4362,1090,0.8532110091743119,0.8313047086400659,0.09081810002680868,
lda,vqc_z_zz,3,45,4362,1090,0.8376146788990826,0.81136604034335,375.1351695000194,
lda,logistic_regression,4,46,4362,1090,0.8412844036697248,0.8021955006063165,0.09381869999924675,
lda,vqc_z_zz,4,46,4362,1090,0.8275229357798165,0.8037389573345567,361.57660279999254,
lda,logistic_regression,5,47,4362,1090,0.8458715596330275,0.8188281510266839,0.08513769996352494,
lda,vqc_z_zz,5,47,4362,1090,0.8550458715596331,0.8360149708360076,362.4548594999942,
