,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,16,0,0,0,0,0
actual_DESC,1,13,2,0,0,0
actual_ENTY,1,5,9,0,0,1
actual_HUM,2,0,3,8,2,1
actual_LOC,0,1,1,1,12,1
actual_NUM,0,0,1,2,1,12
