,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,14,2,0,0,0,0
actual_DESC,3,5,2,3,2,1
actual_ENTY,0,5,8,0,2,1
actual_HUM,0,1,3,11,1,0
actual_LOC,0,1,0,1,13,1
actual_NUM,0,1,1,0,3,11
