epoch,training_loss,training_accuracy,development_loss,development_accuracy,development_macro_f1
1,1.8075049469868343,0.16666666666666666,1.7922892967859905,0.16666666666666666,0.04804804804804805
2,1.7803620249032974,0.1875,1.7695017258326213,0.21875,0.149228639381939
3,1.7593048214912415,0.22395833333333334,1.7485794226328533,0.23958333333333334,0.20924834731756925
4,1.7322439303000767,0.3125,1.710566759109497,0.34375,0.3087344819055435
5,1.700629899899165,0.3255208333333333,1.6606458624204,0.3541666666666667,0.30708251680118687
6,1.667850802342097,0.3385416666666667,1.6108797987302144,0.3125,0.2495549235975106
7,1.6400271107753117,0.3541666666666667,1.567930022875468,0.3229166666666667,0.28318555008210183
8,1.6119159857432048,0.3697916666666667,1.5317116379737854,0.375,0.34197923830107735
9,1.5898047039906185,0.3619791666666667,1.4930749535560608,0.40625,0.38028733104870155
10,1.5608190496762593,0.3697916666666667,1.4451990524927776,0.40625,0.3782180101140314
11,1.5211965094010036,0.4140625,1.4035681287447612,0.40625,0.3842894560636496
12,1.493207409977913,0.4114583333333333,1.3710015018781025,0.3958333333333333,0.3753780036388732
13,1.471287916103999,0.4296875,1.363915463288625,0.375,0.3461309523809524
14,1.4600312958161037,0.4322916666666667,1.3569864233334858,0.4270833333333333,0.4247994725580932
15,1.451140229900678,0.4479166666666667,1.3507739504178364,0.4270833333333333,0.4126299224125311
16,1.4475238074858983,0.4322916666666667,1.344859500726064,0.4375,0.42888797477032775
17,1.4372563511133194,0.4401041666666667,1.3510595957438152,0.4375,0.4269735813830661
18,1.4343639413515727,0.421875,1.3536928296089172,0.4375,0.4231235522316085
19,1.4284160733222961,0.4375,1.3558588822682698,0.4375,0.42805134680134677
20,1.4218552658955257,0.4375,1.3555665214856465,0.4166666666666667,0.40861977619330564
21,1.4173941512902577,0.4348958333333333,1.3597317536671956,0.4166666666666667,0.40918152606132147
22,1.411380464831988,0.4244791666666667,1.363293210665385,0.4375,0.4304384633778464
23,1.4078852857152622,0.4244791666666667,1.369292676448822,0.40625,0.4087841770534502
24,1.4032193422317505,0.4270833333333333,1.3696541388829548,0.4375,0.43307636444891345
25,1.397120197614034,0.4244791666666667,1.3723444541295369,0.4270833333333333,0.41942559074912017
26,1.3960323979457219,0.4270833333333333,1.3740917046864827,0.4166666666666667,0.42179091580714306
27,1.388812596599261,0.4427083333333333,1.3753677606582642,0.4583333333333333,0.4589574234477885
28,1.3841595649719238,0.4375,1.382319947083791,0.4479166666666667,0.44903399048669684
29,1.3808412303527196,0.4427083333333333,1.3830076456069946,0.4270833333333333,0.42789114949358353
30,1.3810470004876454,0.4427083333333333,1.3853857517242432,0.4583333333333333,0.45687409011445523
31,1.3754080856839817,0.4375,1.3886664907137554,0.4479166666666667,0.45064285888322403
