component,explained_variance_ratio,cumulative_explained_variance
1,0.04872749,0.04872749
2,0.0346103,0.08333779
3,0.024857076,0.108194865
4,0.021184312,0.12937918
5,0.020235058,0.14961424
6,0.018594436,0.16820869
7,0.016787332,0.18499602
8,0.01673664,0.20173267
9,0.01590535,0.21763802
10,0.015220338,0.23285836
11,0.013735014,0.24659337
12,0.013708499,0.26030186
