,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,13,2,0,0,1,0
actual_DESC,2,7,2,2,3,0
actual_ENTY,0,2,10,2,1,1
actual_HUM,0,1,2,12,1,0
actual_LOC,0,1,1,0,14,0
actual_NUM,0,0,0,3,0,13
