epoch,folds,training_accuracy_mean,training_accuracy_std,validation_accuracy_mean,validation_accuracy_std
1,5,0.8235511375315007,0.03589302596476519,0.7978704832701251,0.034124362781022786
2,5,0.8585384227103201,0.007582242629036578,0.8281361262708231,0.013526944215193138
3,5,0.8660128261619471,0.004380600027576247,0.8325396278138901,0.007632586944905179
4,5,0.8659209884284456,0.004865210992411149,0.8297908660516823,0.015272582162783495
5,5,0.8663337377978563,0.0037583971441807243,0.8351092760618573,0.011295386236411005
6,5,0.8696812573537211,0.0048516203374285,0.837674551585533,0.008196098936308665
7,5,0.8699559925356477,0.002121539807584212,0.8347424717664966,0.013545863352936057
8,5,0.8692223735853861,0.0018105338191389654,0.8374954380712921,0.01468412720693523
9,5,0.8700478723242074,0.004909497289282607,0.8406131904910066,0.012528868052687206
10,5,0.8715612130823613,0.0035204188193801067,0.8365776705152246,0.014181597990083582
11,5,0.8722028155651238,0.003563978094861813,0.8367628385707919,0.019302592002545714
12,5,0.8713778740558246,0.005018286404634051,0.8349262943684357,0.009478652623913644
13,5,0.8727991878327146,0.00385949698420588,0.8369432975386608,0.00984971850442444
14,5,0.8715151943348471,0.00297917939774786,0.837492410800629,0.01217806462512758
15,5,0.8726160275401755,0.006219650787164876,0.8380428695162253,0.011335863277143473
16,5,0.8717904552050021,0.004208480414650384,0.8351077624265256,0.009749232793697509
17,5,0.8710568677960342,0.00443987135741267,0.8373101018340214,0.00983109789942213
18,5,0.8727994296492998,0.004704096076446941,0.8389609734357,0.01004354456846973
19,5,0.8740374674822405,0.004251329473934138,0.8352912486650578,0.009878247670718722
20,5,0.871285962725971,0.0020066600595856857,0.8360262027094073,0.014822648796565393
21,5,0.8748629241660035,0.00510783669855881,0.8400603772315609,0.009462729902878705
22,5,0.8744959306999928,0.003906610232123081,0.8422625484573534,0.009130648313092772
23,5,0.8719277439427311,0.005214923195061996,0.8398792455368781,0.020903164927852304
24,5,0.8726616467646361,0.004593443707103206,0.8330914319831146,0.01758953115564784
25,5,0.8714232409499354,0.004609405832161251,0.8360272117996284,0.016939662230537042
26,5,0.8739457138588553,0.003990794152172717,0.8341918448691967,0.014190125647061439
27,5,0.8687637947162236,0.008038808364814107,0.8347428081299035,0.012727830322603372
28,5,0.8722952000143828,0.007575334088496941,0.8341899948704581,0.01280294226524715
29,5,0.873349572894085,0.0035463160750009185,0.8351074260631186,0.010159356195515784
30,5,0.8738999369279263,0.00625065175115925,0.8349256216416215,0.012762503330432719
31,5,0.8758259429453744,0.00679955727554897,0.8382270284815714,0.013972466928207403
32,5,0.877613840151457,0.0016847041539018073,0.8376757288574576,0.013881619769499021
33,5,0.8719740675894178,0.0060068318930129256,0.8338247042104289,0.011085903672029954
34,5,0.8758254277709107,0.00046106901656187556,0.8376772424927893,0.015261091462552705
35,5,0.8750920611509987,0.00435401030131531,0.835658221142122,0.01014854815135277
36,5,0.8734411477834725,0.00448555544647423,0.8345596582547785,0.018004168839471115
37,5,0.8756422885059004,0.0035733393164547635,0.8387776553788713,0.014592287116520589
38,5,0.8743584842557952,0.004491884749767094,0.8404273497086253,0.01129156383434185
39,5,0.8736248022229463,0.005514604741217341,0.8411606219359395,0.014001745444739137
40,5,0.8760091347792074,0.004185402254656194,0.8371257746869718,0.011724772663195472
41,5,0.873349478270204,0.005424429648883603,0.8385943373220428,0.012791204784795392
42,5,0.8750002970138491,0.003746078322177799,0.8354750712669968,0.01305831305825555
43,5,0.8738996110012248,0.00387223225658413,0.8354742303584792,0.011095657300695713
44,5,0.8732580085184622,0.008441889525558422,0.8352914168467613,0.008202081227377325
45,5,0.8733952762286622,0.005055144441175452,0.8365775023335212,0.011647936199825057
46,5,0.8751378170543985,0.003834948614141718,0.8365753159713755,0.014451755604735977
47,5,0.8760548381137843,0.0023069128675893094,0.838226860299868,0.012543916125726749
48,5,0.8750460634310135,0.0027394392141264186,0.8363938479132855,0.014530843054672433
49,5,0.8743582634667394,0.0029463077443909274,0.8395107594244822,0.01273764596057508
50,5,0.872753642204606,0.006427151501034099,0.8351082669716362,0.012397831009922608
51,5,0.8746796692495833,0.006694129941618741,0.8363916615511398,0.01211573561760196
52,5,0.8755504402586343,0.0031154066520299594,0.8362098571296428,0.015932340425305502
53,5,0.8742208485638354,0.004925494086219609,0.838226860299868,0.009859425356365316
54,5,0.8712863727627891,0.009103412538852646,0.8336390316097513,0.011485325219303268
55,5,0.8737621960983211,0.003615413154977707,0.8387768144703538,0.012581940875363106
56,5,0.872294611243567,0.0011747623164980398,0.838227869390089,0.010639810982376008
57,5,0.8757343154871642,0.006600471586572313,0.8380437104247429,0.015396973155867032
58,5,0.8734871560172219,0.004127165471659151,0.8345576400743363,0.01585675102318727
59,5,0.8749544990553908,0.005353339255138671,0.8369426248118467,0.0144479554728623
60,5,0.8757341262394019,0.004731378058732513,0.8393267686408397,0.011987506742817983
