epoch,training_loss,training_accuracy,development_loss,development_accuracy,development_macro_f1
1,1.8118603229522705,0.16666666666666666,1.7723801533381145,0.19791666666666666,0.13133989119904613
2,1.7244662841161091,0.234375,1.7421077291170757,0.19791666666666666,0.16144716144716145
3,1.6815123756726582,0.2890625,1.7232732574145,0.2604166666666667,0.23880213353897561
4,1.6458990822235744,0.3333333333333333,1.706803282101949,0.3020833333333333,0.2744914337432032
5,1.6152159820000331,0.3489583333333333,1.6917597850163777,0.3229166666666667,0.2923680173680174
6,1.5884420325358708,0.3671875,1.6767736275990803,0.3541666666666667,0.33037984275835935
7,1.5635537207126617,0.390625,1.6498536268870037,0.3541666666666667,0.3218584656084656
8,1.5404725223779678,0.3828125,1.6372842192649841,0.3645833333333333,0.3399047091120262
9,1.5252491235733032,0.3854166666666667,1.6226639946301777,0.3541666666666667,0.3259038704426421
10,1.5108608901500702,0.4036458333333333,1.6102848649024963,0.375,0.3440918352837509
11,1.4992341895898182,0.4036458333333333,1.6006870865821838,0.3958333333333333,0.37682284033466523
12,1.489983508984248,0.4088541666666667,1.5914831757545471,0.40625,0.3831915306915307
13,1.4805793811877568,0.4114583333333333,1.5913109183311462,0.3854166666666667,0.3656444940359669
14,1.4730207820733388,0.4244791666666667,1.5795194705327351,0.40625,0.38741355760831536
15,1.4633150746424992,0.4270833333333333,1.5776237448056538,0.3854166666666667,0.37211138586040243
16,1.4576350351174672,0.4322916666666667,1.5738258759180705,0.40625,0.38296128707893407
17,1.4526626815398533,0.4375,1.5651626388231914,0.4166666666666667,0.3979697124858415
18,1.4490498652060826,0.4348958333333333,1.5617015957832336,0.4166666666666667,0.39753728428342733
19,1.4413252373536427,0.4296875,1.5619030594825745,0.4166666666666667,0.39753728428342733
20,1.4372986058394115,0.4322916666666667,1.5472051501274109,0.40625,0.38770801331285204
21,1.4340020666519802,0.4401041666666667,1.5479284524917603,0.3958333333333333,0.37375849061332933
22,1.4279926866292953,0.4401041666666667,1.5355270107587178,0.3958333333333333,0.3746017522899243
23,1.428245132168134,0.4348958333333333,1.532693088054657,0.40625,0.38762566812181115
24,1.4194868157307308,0.4453125,1.5271433194478352,0.4166666666666667,0.4008865767821132
25,1.4195086807012558,0.4401041666666667,1.5243772665659587,0.40625,0.38640727521947826
26,1.4147254874308903,0.4270833333333333,1.508502761522929,0.4270833333333333,0.40451612903225803
27,1.4108255902926128,0.4453125,1.4995901584625244,0.4270833333333333,0.40451612903225803
28,1.4069328755140305,0.4427083333333333,1.500129719575246,0.4375,0.41487031164356747
29,1.405792365471522,0.4453125,1.4876856605211894,0.4375,0.41487031164356747
30,1.4036533832550049,0.4609375,1.4833774367968242,0.4375,0.41779151081476656
31,1.4002733379602432,0.4505208333333333,1.4784486492474873,0.4270833333333333,0.4060086940664416
32,1.397139733036359,0.4505208333333333,1.4730269114176433,0.4375,0.41606142728093953
33,1.3924479285875957,0.4609375,1.46175350745519,0.4270833333333333,0.4075104800203148
34,1.3943966776132584,0.4765625,1.4589834610621135,0.4375,0.4159957440534916
35,1.3888640329241753,0.4557291666666667,1.4520601034164429,0.4270833333333333,0.4072550158274692
36,1.3839552377661068,0.453125,1.44712233543396,0.4583333333333333,0.4396835876772934
37,1.3823812107245128,0.4765625,1.4406143228212993,0.4375,0.4204722016917139
38,1.3771688987811406,0.4661458333333333,1.4321302970250447,0.4166666666666667,0.3973869982616829
39,1.3738059252500534,0.4765625,1.4263811310132344,0.4375,0.4141282802540409
40,1.3726752698421478,0.4817708333333333,1.4241402347882588,0.4375,0.4201402906270442
41,1.3701018492380779,0.4791666666666667,1.4198616743087769,0.4270833333333333,0.4072550158274692
42,1.3619565044840176,0.4791666666666667,1.4097312887509663,0.4270833333333333,0.40664332399626524
43,1.3610999534527461,0.484375,1.404967765013377,0.4375,0.417631657194315
44,1.3557410091161728,0.4791666666666667,1.396804650624593,0.4479166666666667,0.4274802794681091
45,1.3485146711270015,0.4921875,1.3893962701161702,0.4479166666666667,0.42576456223515047
46,1.3416880418856938,0.5026041666666666,1.389180322488149,0.4583333333333333,0.4369218535371187
47,1.3366545289754868,0.515625,1.3772770365079243,0.4583333333333333,0.4421095244624656
48,1.3320402801036835,0.5130208333333334,1.3763537605603535,0.4791666666666667,0.46096530920060325
49,1.3258436371882756,0.515625,1.3677677710851033,0.4791666666666667,0.4685425491473878
