,predicted_ABBR,predicted_DESC,predicted_ENTY,predicted_HUM,predicted_LOC,predicted_NUM
actual_ABBR,7,1,0,0,1,0
actual_DESC,31,54,47,2,1,3
actual_ENTY,2,28,37,6,4,17
actual_HUM,6,3,16,22,6,12
actual_LOC,4,3,13,1,33,27
actual_NUM,4,9,11,13,13,63
