MC1 through dimensionality reduction
  embedding=tfidf  reducer=pca  scaling=global  qubits=2  layers=2  reuploads=2
  explained variance retained: 0.385
  derived sentence topics: 83 sentences, 2 topics (0 label disagreements)
  train           58 sentences   1653 pairs  labels {0: 792, 1: 861}
  development     14 sentences     91 pairs  labels {0: 45, 1: 46}
  test            11 sentences     55 pairs  labels {0: 28, 1: 27}
  test_original   11 sentences     13 pairs  labels {0: 7, 1: 6}
  seeds: [0]
  merging into the existing 06_mc1_reduced.json

  training seed 0 on default.qubit for the Aer stages
    reference test accuracy: 1.0000

=== 6. Aer training cost ===
  spsa               0.59s for 4 sentences (6 pairs)  ->  0.15s/sentence,  0.14 min/epoch (projected, 58 sentences, all 1653 pairs)
                   gradient reaching circuit weights: 1309.961792

  training on Aer for 120 epochs with diff_method=spsa
      epoch  70/120  train_loss=0.4829  dev_loss=0.7463  dev_acc=0.648
      epoch  71/120  train_loss=0.4880  dev_loss=0.7201  dev_acc=0.659
      epoch  72/120  train_loss=0.4610  dev_loss=0.7295  dev_acc=0.659
      epoch  73/120  train_loss=0.4822  dev_loss=0.7259  dev_acc=0.659
      epoch  74/120  train_loss=0.5040  dev_loss=0.7589  dev_acc=0.659
      epoch  75/120  train_loss=0.4871  dev_loss=0.7630  dev_acc=0.648
      epoch  76/120  train_loss=0.5004  dev_loss=0.7778  dev_acc=0.648
      epoch  77/120  train_loss=0.5071  dev_loss=0.7645  dev_acc=0.659
      epoch  78/120  train_loss=0.5148  dev_loss=0.8144  dev_acc=0.681
      epoch  79/120  train_loss=0.4954  dev_loss=0.7992  dev_acc=0.659
      epoch  80/120  train_loss=0.5225  dev_loss=0.8038  dev_acc=0.648
      epoch  81/120  train_loss=0.5084  dev_loss=0.7995  dev_acc=0.692
      epoch  82/120  train_loss=0.5292  dev_loss=0.7892  dev_acc=0.659
      epoch  83/120  train_loss=0.5408  dev_loss=0.8041  dev_acc=0.681
      epoch  84/120  train_loss=0.5289  dev_loss=0.8118  dev_acc=0.648
      epoch  85/120  train_loss=0.5725  dev_loss=0.7764  dev_acc=0.648
      epoch  86/120  train_loss=0.5426  dev_loss=0.7446  dev_acc=0.670
      epoch  87/120  train_loss=0.5407  dev_loss=0.7973  dev_acc=0.659
      epoch  88/120  train_loss=0.5544  dev_loss=0.7677  dev_acc=0.637
      epoch  89/120  train_loss=0.5581  dev_loss=0.7532  dev_acc=0.648
      epoch  90/120  train_loss=0.5523  dev_loss=0.7783  dev_acc=0.626
      epoch  91/120  train_loss=0.5529  dev_loss=0.7880  dev_acc=0.681
      epoch  92/120  train_loss=0.5625  dev_loss=0.7643  dev_acc=0.725
      epoch  93/120  train_loss=0.5831  dev_loss=0.7707  dev_acc=0.703
      epoch  94/120  train_loss=0.5800  dev_loss=0.7502  dev_acc=0.670
      epoch  95/120  train_loss=0.5808  dev_loss=0.7688  dev_acc=0.681
      epoch  96/120  train_loss=0.5924  dev_loss=0.7777  dev_acc=0.626
      epoch  97/120  train_loss=0.5989  dev_loss=0.7236  dev_acc=0.736
      epoch  98/120  train_loss=0.5957  dev_loss=0.7590  dev_acc=0.725
      epoch  99/120  train_loss=0.6116  dev_loss=0.7348  dev_acc=0.670
      epoch 100/120  train_loss=0.5906  dev_loss=0.7375  dev_acc=0.692
      epoch 101/120  train_loss=0.6194  dev_loss=0.7240  dev_acc=0.648
      epoch 102/120  train_loss=0.6137  dev_loss=0.7214  dev_acc=0.648
      epoch 103/120  train_loss=0.6204  dev_loss=0.7359  dev_acc=0.714
      epoch 104/120  train_loss=0.6170  dev_loss=0.7283  dev_acc=0.681
      epoch 105/120  train_loss=0.6065  dev_loss=0.6965  dev_acc=0.703
      epoch 106/120  train_loss=0.6156  dev_loss=0.7234  dev_acc=0.681
      epoch 107/120  train_loss=0.6235  dev_loss=0.7127  dev_acc=0.648
      epoch 108/120  train_loss=0.6072  dev_loss=0.7420  dev_acc=0.505
      epoch 109/120  train_loss=0.6195  dev_loss=0.7551  dev_acc=0.659
      epoch 110/120  train_loss=0.6157  dev_loss=0.7251  dev_acc=0.604
      epoch 111/120  train_loss=0.6247  dev_loss=0.7427  dev_acc=0.593
      epoch 112/120  train_loss=0.6170  dev_loss=0.7195  dev_acc=0.593
      epoch 113/120  train_loss=0.6055  dev_loss=0.7274  dev_acc=0.659
      epoch 114/120  train_loss=0.6366  dev_loss=0.7119  dev_acc=0.582
      epoch 115/120  train_loss=0.6257  dev_loss=0.7123  dev_acc=0.659
      epoch 116/120  train_loss=0.6189  dev_loss=0.6726  dev_acc=0.714
      epoch 117/120  train_loss=0.6104  dev_loss=0.7196  dev_acc=0.560
      epoch 118/120  train_loss=0.6214  dev_loss=0.7279  dev_acc=0.637
      epoch 119/120  train_loss=0.6062  dev_loss=0.7093  dev_acc=0.582
      epoch 120/120  train_loss=0.6188  dev_loss=0.7045  dev_acc=0.582
    trained on Aer: test=0.6364  MC1 13 pairs=0.6154  8.9s/epoch

Wrote /home/ubuntu/Accelerating-hybrid-quantum-classical-machine-learning-tasks-on-HPC-platforms/pennylane_aer/outputs/06_mc1_reduced.json
